chapter/capitulo,глав<span style='color: blue;'>а</span> 
to think up/to make up,прид<span style='color: blue;'>у</span>мать 
en resumen/consequently,в ит<span style='color: blue;'>о</span>ге 
native speaker,родно́й нос<span style='color: blue;'>и</span>тель 
it's easier,это про́ще 
I'm at my friend's home now,сейчас я у друга 
to discuss,обсужд<span style='color: blue;'>а</span>ть 
fan,покл<span style='color: blue;'>о</span>нник 
witness,свид<span style='color: blue;'>е</span>тель 
comma ,запят<span style='color: blue;'>а</span>я 
additional ,дополн<span style='color: blue;'>и</span>тельный 
to edit,редакт<span style='color: blue;'>и</span>ровать 
case,сл<span style='color: blue;'>у</span>чай 
to say in other words ,сказать друг<span style='color: blue;'>и</span>ми слов<span style='color: blue;'>и</span>ми 
gender/half,пол 
