to sit down,с<span style='color: blue;'>е</span>сть 
to lie down ,л<span style='color: blue;'>е</span>чь 
half a year,полг<span style='color: blue;'>о</span>да 
intonation ,интон<span style='color: blue;'>а</span>ция 
brain,м<span style='color: blue;'>о</span>зг 
order of the words ,пор<span style='color: blue;'>я</span>док слов 
meaning ,см<span style='color: blue;'>ы</span>сл 
composition ,произвед<span style='color: blue;'>е</span>ние 
curious person,любоп<span style='color: blue;'>ы</span>тный человек 
absurd ,абс<span style='color: blue;'>у</span>рд 
aduana ,там<span style='color: blue;'>о</span>жня 
line/verso (in the poem; song),стр<span style='color: blue;'>о</span>чка 
