shelf,п<span style='color: blue;'>о</span>лка 
to prove (perfective),доказ<span style='color: blue;'>а</span>ть 
to prove (imperfective),док<span style='color: blue;'>а</span>зывать 
plant,раст<span style='color: blue;'>е</span>ние 
society ,<span style='color: blue;'>о</span>бщество 
community ,со<span style='color: blue;'>о</span>бщество 
to spend money,тр<span style='color: blue;'>а</span>тить деньги 
to put out the fire ,туш<span style='color: blue;'>и</span>ть пожа́р 
in general,вообщ<span style='color: blue;'>е</span> 
I don't have energy,у меня нет сил 
player,игр<span style='color: blue;'>о</span>к 
jeans,дж<span style='color: blue;'>и</span>нсы 
сумасшедший,без<span style='color: blue;'>у</span>мный 
on the contrary ,наобор<span style='color: blue;'>о</span>т 
to beat/golpear,бить 
