rocket,рак<span style='color: blue;'>е</span>та 
racket,рак<span style='color: blue;'>е</span>тка 
I feel happy (звучит как "щасливым"),я чУ(в)ствую себЯ счАстливым 
relatively ,относ<span style='color: blue;'>и</span>тельно 
tennis court ,т<span style='color: blue;'>е</span>ннисный корт 
most of the book,б<span style='color: blue;'>о</span>льшая часть книги 
bookmark ,закл<span style='color: blue;'>а</span>дка 
to shoot a movie,сним<span style='color: blue;'>а</span>ть фильм 
nursing home ,дом престар<span style='color: blue;'>е</span>лых 
disabled person ,инвал<span style='color: blue;'>и</span>д 
poison ,яд 
to poison ,отрав<span style='color: blue;'>и</span>ть 
 sequel, continuation ,продолж<span style='color: blue;'>е</span>ние 
to spoil ,исп<span style='color: blue;'>о</span>ртить 
fresh,св<span style='color: blue;'>е</span>жий 
