low,н<span style='color: blue;'>и</span>зкий 
height ,рост 
I'm glad,я дов<span style='color: blue;'>о</span>лен 
to suffer,страд<span style='color: blue;'>а</span>ть 
a look (a gaze),взгл<span style='color: blue;'>я</span>д 
case,сл<span style='color: blue;'>у</span>чай 
cheek,щек<span style='color: blue;'>а</span> 
cheeks,щёки 
curly,кудр<span style='color: blue;'>я</span>вый 
insolent ,н<span style='color: blue;'>а</span>глый 
forehead ,лоб 
to mock it (+ instrumental case),издева́ться/насмеха́ться над этим 
to amaze,удив<span style='color: blue;'>и</span>ть 
strong alcohol ,кр<span style='color: blue;'>е</span>пкий алкого́ль 
passion,стр<span style='color: blue;'>а</span>сть 
