defense/protection ,защ<span style='color: blue;'>и</span>та 
to defend/to protect ,защищ<span style='color: blue;'>а</span>ть 
you're on the track,ты на пр<span style='color: blue;'>а</span>вильном пути́ 
 we can start with the conversation ,можем начать с разгов<span style='color: blue;'>о</span>ра 
with your help ,с твоей помощью 
definitely ,определЁнно 
by far,безусл<span style='color: blue;'>о</span>вно 
to list,переч<span style='color: blue;'>и</span>слить 
type/guy (a strange guy),тип 
ladder, stairs ,л<span style='color: blue;'>е</span>с(т)ница 
steps (of the stairs),ступ<span style='color: blue;'>е</span>ньки 
cage,кл<span style='color: blue;'>е</span>тка 
parrot ,попуг<span style='color: blue;'>а</span>й 
furniture ,м<span style='color: blue;'>е</span>бель 
to scare,to frighten,(ис)пуг<span style='color: blue;'>а</span>ть 
