I lived,я жил 
with them,с н<span style='color: blue;'>и</span>ми 
Christmas lights,гирл<span style='color: blue;'>я</span>нда 
to catch up with,догн<span style='color: blue;'>а</span>ть 
to overtake ,обогнАть/перегнАть 
angel,<span style='color: blue;'>а</span>нгел 
independence ,незав<span style='color: blue;'>и</span>симость 
in the past,в пр<span style='color: blue;'>о</span>шлом 
in the past tense,в пр<span style='color: blue;'>о</span>шедшем времени 
sword,меч 
castle,з<span style='color: blue;'>а</span>мок 
lock,зам<span style='color: blue;'>о</span>к 
government ,прав<span style='color: blue;'>и</span>тельство 
member/dick,член 
hole,д<span style='color: blue;'>ы</span>рка 
