wind,в<span style='color: blue;'>е</span>тер 
all right,л<span style='color: blue;'>а</span>дно 
yard ,двор 
in the yard,во двор<span style='color: blue;'>е</span> 
janitor,дв<span style='color: blue;'>о</span>рник 
to sweep ,подмет<span style='color: blue;'>а</span>ть 
owner,влад<span style='color: blue;'>е</span>лец 
bench ,скамЕйка; лАвка 
butcher's shop ,мясная л<span style='color: blue;'>а</span>вка 
to interfere/to stir ,меш<span style='color: blue;'>а</span>ть 
heavy/hard,тяжёлый 
light (не тяжёлый),лёгкий 
it's so popular,это так попул<span style='color: blue;'>я</span>рно 
trash bin,мУсорка; Урна 
glass (for drinking),стак<span style='color: blue;'>а</span>н 
