shade/shadow,тень 
in the shade/in the shadow ,в тен<span style='color: blue;'>и</span> 
envy,з<span style='color: blue;'>а</span>висть 
to envy,зав<span style='color: blue;'>и</span>довать 
to change ,измен<span style='color: blue;'>я</span>ется 
to replace ,замен<span style='color: blue;'>и</span>ть 
cunning/astuto,х<span style='color: blue;'>и</span>трый 
fox ,лис<span style='color: blue;'>а</span> 
to wink,подмигн<span style='color: blue;'>у</span>ть 
daily ,ежедне́вный  = повседне́вный 
your can achieve a good result ,ты можешь доб<span style='color: blue;'>и</span>ться хорошего результата 
decent ,дост<span style='color: blue;'>о</span>йный 
reward,нагр<span style='color: blue;'>а</span>да 
to award,наград<span style='color: blue;'>и</span>ть 
gold,з<span style='color: blue;'>о</span>лото 
